"Last  4809","JAIN SLEE 1.0 API Javadoc Assertions",,,,,,"T?: 0","High:174","1376 (ex methods)",22,168,354,24,24,318,,449,0,0,3
3954,,,"3","Pfd2","Assertion",,,"High","Returns an array of ServiceID objects identifying the services that are in the specified state.",,,"Test3954Test",,,"Install DU containing two Services, activate one, do not activate the other.  Call getServices(ACTIVE) and getServices(INACTIVE) and verify that the correct services are returned for each.","Cath","Complete",,,
3955,,,"4.1","Pfd2","Assertion",,,"High","java.lang.NullPointerException - if state is null.",,,"Test3954Test",,,"Call getServices(NULL)","Cath","Complete",,,
3956,,,"4.2","Pfd2","Impossible",,,,"ManagementException - if the set of services could not be obtained due to a system-level failure.",,,,,,,,,,,
4762,"javax.slee.management.ServiceManagementMBean","activate[]",,"Pfd3","Method","2470",,,"Activate a set of Services.",,,,,,,,,,,
4763,,,"1","Pfd3","Repeat","1616, 1617",,,"All Services in the set must currently be in the INACTIVE state, and transition to ACTIVE state during this method invocation.",,,,,,,,,,,
4764,,,"1.1","Pfd3","Repeat","1612",,,"throws NullPointerException if ids is null",,,,,,,,,,,
4765,,,"1.2","Pfd3","Repeat","2470",,,"throws InvalidArgumentException if ids is zero-length, or contains null or duplicate elements.",,,,,,,,,,,
4766,,,"1.3","Pfd3","Assertion",,,"Low","throws UnrecognizedServiceException if any member of ids is not a recognizable ServiceID for the SLEE or does not correspond with a Service installed in the SLEE.",,,,,,,,,,,
4767,,,"1.4","Pfd3","Repeat","1618",,,"throws InvalidStateException if the current state of any of the Services identified by ids is not INACTIVE",,,,,,,,,,,
4768,,,"1.5","Pfd3","Impossible",,,,"throws ManagementException if the state of any Service could not be cahnged due to a system-level failure.  In the case of such an error the state of all Services identified in ids remains unchanged.",,,,,,,,,,,
3957,"javax.slee.management.ServiceManagementMBean","activate",,"Pfd2","Method","1616,1617,1618",,,,,,,,,,,"Complete",,,
3958,,,"1","Pfd2","Context",,,,"Activate a Service.",,,,,,,,,,,
3959,,,"1","Pfd2","Repeat","1616, 1617",,,"The Service must currently be in the ServiceState.INACTIVE state, and transitions to ServiceState.ACTIVE state during this method invocation.",,,,,,,,,,,
3960,,,"3.1","Pfd2","Assertion",,,"Low","java.lang.NullPointerException - if id is null.",,,,,,,,,,,
3961,,,"3.2","Pfd2","Assertion",,,"Low","UnrecognizedServiceException - if id is not arecognizable ServiceID for the SLEE or it does not correspond with a Service installed in the SLEE.",,,,,,,,,,,
3962,,,"3.3","Pfd2","Repeat",1618,,,"InvalidStateException - if the current state of the Service is not ServiceState.INACTIVE.",,,,,,,,,,,
3963,,,"3.4","Pfd2","Impossible",,,,"ManagementException - if the state of the Service could not be changed due to a system-level failure.",,,,,,,,,,,
4769,"javax.slee.management.ServiceManagementMBean","deactivate[]",,"Pfd3","Method","2471",,,,,,,,,,,,,,
4770,,,,"Pfd3","Repeat","1620,1621",,,"Deactivate a set of Services.  All Services in the set must currently be in the ACTIVE state, and transition to the STOPPING state during this method invocation.",,,,,,,,,,,
4771,,,,"Pfd3","Repeat","1612",,,"throws NullPointerException if ids is null",,,,,,,,,,,
4772,,,,"Pfd3","Repeat","2471",,,"throws InvalidArgumentException if ids is zero-length, or contains null or duplicate elements.",,,,,,,,,,,
4773,,,,"Pfd3","Assertion",,,"Low","throws UnrecognizedServiceException if any member of ids is not a recognizable ServiceID for the SLEE or does not correspond with a Service installed in the SLEE.",,,,,,,,,,,
4774,,,,"Pfd3","Repeat","1618",,,"throws InvalidStateException if the current state of any of the Services identified by ids is not ACTIVE",,,,,,,,,,,
4775,,,,"Pfd3","Impossible",,,,"throws ManagementException if the state of any Service could not be cahnged due to a system-level failure.  In the case of such an error the state of all Services identified in ids remains unchanged.",,,,,,,,,,,
3964,"javax.slee.management.ServiceManagementMBean","deactivate",,"Pfd2","Method","1620,1621,1622",,,,,,,,,,,"Complete",,,
3965,,,"1","Pfd2","Repeat","1620, 1621",,,"Deactivate a Service.  The Service must currently be in the ServiceState.ACTIVE state, and transitions to ServiceState.STOPPING state during this method invocation.",,,,,,,,,,,
3966,,,"3.1","Pfd2","Assertion",,,"Low","java.lang.NullPointerException - if id is null.",,,,,,,,,,,
3967,,,"3.2","Pfd2","Assertion",,,"Low","UnrecognizedServiceException - if id is not arecognizable ServiceID for the SLEE or it does not correspond with a Service installed in the SLEE.",,,,,,,,,,,
3968,,,"3.3","Pfd2","Repeat",1622,,,"InvalidStateException - if the current state of the Service is not ServiceState.ACTIVE.",,,,,,,,,,,
3969,,,"3.4","Pfd2","Impossible",,,,"ManagementException - if the state of the Service  could not be changed due to a system-level failure.",,,,,,,,,,,
4776,"javax.slee.management.ServiceManagementMBean","deactivateAndActivate",,"Pfd3","Method","2271",,,,,,,,,,,,,,
4777,,,,"Pfd3","Repeat","2271,2272",,,"Deactivate one Service and activate another Service.  The first Service must currently be in the ACTIVE state, and transitions to the STOPPING state during this method invocation.  The second Service must be in the INACTIVE state and transitions to the ACTIVE state during this method invocation.",,,,,,,,,,,
4778,,,,"Pfd3","Repeat","1612",,,"throws NullPointerException if either argument is null.",,,,,,,,,,,
4779,,,,"Pfd3","Repeat","2478",,,"throws InvalidArgumentException if deactivateID and activateID identify the same service.",,,,,,,,,,,
4780,,,,"Pfd3","Assertion",,,"Low","throws UnrecognizedServiceException if either argument is not a recognizable ServiceID for the SLEE or does not correspond with a Service installed in the SLEE.",,,,,,,,,,,
4781,,,,"Pfd3","Repeat","2273",,,"throws InvalidStateException if the current state of the Service identified by deactivateID is not ACTIVE, or the current state of the Service identified by activateID is not INACTIVE.",,,,,,,,,,,
4782,,,,"Pfd3","Impossible",,,,"throws ManagementException if the state of either Service could not be changed due to a system-level failure.  In the case of such an error the state of both Services remains unchanged.",,,,,,,,,,,
4783,,"deactivateAndActivate[]",,"Pfd3","Method","2271",,,"Deactivate one set of Services and activate another set of Services.",,,,,,,,,,,
4784,,,,"Pfd3","Repeat","2271,2272",,,"All services in the first set must currently be in the ACTIVE state, and transition to STOPPING during this method invocation.  All Services in the second set must be in the INACTIVE state and transition to the ACTIVE state during this method invocation.",,,,,,,,,,,
4785,,,,"Pfd3","Repeat","1612",,,"throws NullPointerException if either argument is null.",,,,,,,,,,,
4786,,,,"Pfd3","Repeat","2473,2478",,,"throws InvalidArgumentException if either argument is zero-length, contais null or duplicate elements, or a Service identified by a component identifier in deactivateIDs is the same as a Service identified by a component identifier in activateIDs.",,,,,,,,,,,
4787,,,,"Pfd3","Assertion",,,"Low","throws UnrecognizedServiceException if any member of deactivateIDs or activateIDs is not a recognizable ServiceID for the SLEE or does not correspond with a Service installed in the SLEE.",,,,,,,,,,,
4788,,,,"Pfd3","Repeat","2273",,,"throws InvalidStateException if the current state of any of the Services identified by activateIDs is not ACTIVE or the current state of any of the services identified by activateIDs is not INACTIVE.",,,,,,,,,,,
4789,,,,"Pfd3","Impossible",,,,"throws ManagementException if the state of any Service could not be cahnged due to a system-level failure.  In the case of such an error the state of all Services identified in *ids remains unchanged.",,,,,,,,,,,
3970,"javax.slee.management.ServiceManagementMBean","getServiceUsageMBean",,"Pfd2","Method","1997",,,,"Add jdoc comment for return",,,,,,,,,,
3971,,,"1","Pfd2","Assertion",,,"High","Get the JMX Object Name of a ServiceUsageMBean object for a Service.",,,"Test3971Test",,,"Checks that a ServiceUsageMBean returned by getServiceUsageMBean()  extends the ServiceUsageMBean interface, and that it represents  the correct service.","Matt","Complete",,,
3972,,,"3.1","Pfd2","Assertion",,,"Low","java.lang.NullPointerException - if id is null.",,,,,,,,,,,
3973,,,"3.2","Pfd2","Assertion",,,"Low","UnrecognizedServiceException - if id is not arecognizable ServiceID for the SLEE or it does not correspond with a Service installed in the SLEE.",,,,,,,,,,,
3974,,,"3.3","Pfd2","Impossible",,,,"ManagementException - if the Object Name could not be obtained due to a system-level failure.",,,,,,,,,,,
3975,"javax.slee.management.ServiceUsageMBean",,"2 ","Pfd2","Assertion",,,"Low","Each SBB maintains separate sets of usage information for each Service that it participates in.",,,,,,,,,,,
3976,,,"2 ","Pfd2","Context",,,,"A ServiceUsageMBean object allows management of usage information accumulated for a single Service for all the SBBs participating in that Service.",,,,,,,,,,,
3977,,,"3","Pfd2","Covered","3971",,,"The Object Name of a ServiceUsageMBean object can be obtained by a management client via the ServiceManagementMBean.getServiceUsageMBean(javax.slee.ServiceID) method.",,,,,,,,,,,
3978,,,"4","Pfd2","Removed",,,,"Since ServiceUsageMBean objects can emit Usage notifications, it is required that the ServiceUsageMBean object implement the javax.management.NotificationBroadcaster interface.",,,,,,,,,,,
3979,"javax.slee.management.ServiceUsageMBean","getService",,"Pfd2","Method","3980",,,,,,,,,,,,,,
3980,,,"2 ","Pfd2","Assertion",,,"High","Returns the component identifier of the Service that this MBean is presenting usage information for.",,,"Test3980Test",,,"Call method and verify that returned ServiceID is correct.","Cath","Complete",,,
3981,,,"3.1","Pfd2","Impossible",,,,"ManagementException - if the Service component identifier could not be obtained due to a system-level failure.",,,,,,,,,,,
4555,"javax.slee.management.ServiceUsageMBean","createUsageParameterSet",,"Pfd3","Method","2245",,,,,,,,,,,,,,
4613,,,,"Pfd3","Covered","2245",,,"Create a new usage paramater set that the specified SBB is permitted to use in the one-argument form of the get-usage-parameters method, when the service component identifier argument of the get-usage-parameters method identifies the service that this MBean provides usage management access for.",,,,,,,,,,,
4556,,,,"Pfd3","Covered","2243,4559",,,"id - the component identifier of the SBB.  The SBB must be an SBB that is used in the Service whose usage information is being managed by this MBean.",,,,,,,,,,,
4557,,,,"Pfd3","Covered","2294,4558",,,"name - the usage parameter set name.  Names must be non-null and greater than 0 in length.",,,,,,,,,,,
4558,,,,"Pfd3","Assertion",,,"High","throws NullPointerException if either argument is null.",,,"Test2294and4558Test",,,"Checks that createUsageParameterSet() throws a NullPointerException for a null parameter set name or a null SbbID.","Matt","Complete",,,
4559,,,,"Pfd3","Assertion",,,"High","throws UnrecognizedSbbException if id is not a recognizable SbbID for the SLEE, does not correspond with an SBB installed in the SLEE, or is not an SBB that participates in the service whose usage information is being managed by this  MBean.",,"Note: not possible to test an unrecognized SbbID (other than null), as the  SLEE being tested is the TCK's only access to an implementation of SbbID. A mock implementation class may not be recognized by the SLEE.","ServiceUsageMBeanExceptionsTest",,,"Calls createUsageParameterSet() with the SbbID of an uninstalled SBB. Calls createUsageParameterSet() with the SbbID of an SBB not in the service represented by the ServiceUsageMBean.","Matt","Complete",,,
4560,,,,"Pfd3","Covered",2294,,,"throws InvalidArgumentException if name is zero-length or the identified SBB participates in this service but does not define a usage parameters interface.",,,,,,,,,,,
4561,,,,"Pfd3","Assertion",,,"High","throws UsageParameterSetNameAlreadyExistsException if the name has already been used to create a usage parameter set for the SBB",,,"Test2294and4558Test",,,"Try to create 2 parameter sets with the same name for the same Sbb, and check that the UsageParameterSetNameAlreadyExistsException is thrown.","Matt","Complete",,,
4562,,,,"Pfd3","Impossible",,,,"throws ManagementException if the usage parameter set could not be created due to a system-level failure",,,,,,,,,,,
3982,"javax.slee.management.ServiceUsageMBean","getSbbParameterNames",,"Pfd2","Removed",,,,,,,,,,,,"Removed",,,
3983,,,"1","Pfd2","Removed",,,,"Get the names of the usage parameters defined by an SBB.",,,,,,,,,,,
3984,,,"1","Pfd2","Removed",,,,"The current value of a specific usage parameter can be obtained using the getSbbParameterValue method.",,,,,,,,"Removed",,,
3985,,,"3","Pfd2","Removed",,,,"Returns the array of usage parameters defined by the SBB.",,,"Test3980Test",,,"Call method and verify that correct set of names is returned.","Cath","Removed",,,
3986,,,"4.1","Pfd2","Removed",,,,"java.lang.NullPointerException - if id is null.",,,,,,,,,,,
3987,,,"4.2","Pfd2","Removed",,,,"UnrecognizedSbbException - if sbbID is not a recognizable SbbID for the SLEE, does not correspond with an SBB installed in the SLEE, or is not an SBB that participates in th Service whose usage information is being managed by this MBean.",,,,,,,,,,,
3988,,,"4.3","Pfd2","Impossible",,,,"ManagementException - if the names of the usage parameters could not be obtained due to a system-level failure.",,,,,,,,,,,
4563,"javax.slee.management.ServiceUsageMBean","removeUsageParameterSet","removeUsageParameterSet","Pfd3","Method","2295",,,,,,,,,,,,,,
4564,,,,"Pfd3","Covered",2295,,,"Remove an existing usage parameter set that the specified SBB is permitted to use in the one-argument form of the get-usage-parameters method, when the service component identifier argument of the get-usage-parameters method identifies the Service that this MBean provides usage management access for.",,,,,,,,,,,
4565,,,,"Pfd3","Context",,,,"id - the component identifier of the SBB.  ",,,,,,,,,,,
4649,,,,"Pfd3","Covered","4568",,,"The SBB must be an SBB that is used in the Service whose usage information is being managed by this MBean.",,,,,,,,,,,
4566,,,,"Pfd3","Context",,,,"name - the usage parameter set name.",,,,,,,,,,,
4567,,,,"Pfd3","Assertion",,,"High","throws NullPointerException if either argument is null.",,,"ServiceUsageMBeanExceptionsTest",,,"Calls removeUsageParameterSet() with null arguments.","Matt","Complete",,,
4568,,,,"Pfd3","Assertion",,,"High","throws UnrecognizedSbbException if id is not a recognizable SbbID for the SLEE, does not correspond with an SBB installed in the SLEE, or is not an SBB that participates in the service whose usage information is being managed by this  MBean.",,"Note: not possible to test an unrecognized SbbID (other than null), as the  SLEE being tested is the TCK's only access to an implementation of SbbID. A mock implementation class may not be recognized by the SLEE.","ServiceUsageMBeanExceptionsTest",,,"Calls removeUsageParameterSet() with id of an uninstalled SBB. Calls removeUsageParameterSet() with the id of an SBB not in the service represented by the ServiceUsageMBean.","Matt","Complete",,,
4569,,,,"Pfd3","Assertion",,,"High","throws InvalidArgumentException if the identified SBB participates in this service but does not define a usage parameters interface.",,,"ServiceUsageMBeanExceptionsTest",,,"Calls removeUsageParameterSet() with the id of an SBB in the service represented by the ServiceUsageMBean, with no usage parameters interface.","Matt","Complete",,,
4570,,,,"Pfd3","Assertion",,,"High","throws UnrecognizedUsageParameterSetNameException if the name does not identify a usage parameter set that has been created for the SBB",,,"ServiceUsageMBeanExceptionsTest",,,"Calls removeUsageParameterSet() with a name that does not identify a usage parameter set that has been created for the SBB.","Matt","Complete",,,
4571,,,,"Pfd3","Impossible",,,,"throws ManagementException if the usage parameter set could not be removeddue to a system-level failure",,,,,,,,,,,
4572,"javax.slee.management.ServiceUsageMBean","getUsageParameterSets",,"Pfd3","Method","4573",,,,,,,,,,,,,,
4573,,,,"Pfd3","Assertion",,,"High","Get the names of the usage parameter sets that the specified SBB is permitted to use in the one-argument form of the get-usage-parameters methods, when the service component identifier argument of the get-usage-parameters method identifies the Service that this MBean provides usage management access for.",,,"Test2295Test",,,"Creates two usage parameter sets in SBB A and one set in SBB B, then checks the set returned by getUsageParameterSets() for SBB A.","Matt","Complete",,,
4574,,,,"Pfd3","Context",,,,"id - the component identifier of the SBB.",,,,,,,,,,,
4650,,,,"Pfd3","Covered","4578",,,"The SBB must be an SBB that is used in the Service whose usage information is being managed by this MBean.",,,,,,,,,,,
4575,,,,"Pfd3","Covered","4573",,,"Returns the names of the usage parameter sets that the SBB can use.",,,,,,,,,,,
4576,,,,"Pfd3","Assertion",,,"High","throws NullPointerException if either argument is null.",,,"ServiceUsageMBeanExceptionsTest",,,"Calls getUsageParameterSets() with a null SBB id argument.","Matt","Complete",,,
4577,,,,"Pfd3","Assertion",,,"High","throws InvalidArgumentException if the identified SBB participates in this service but does not define a usage parameters interface.",,,"ServiceUsageMBeanExceptionsTest",,,"Calls getUsageParameterSets() with the id of an SBB in the service represented by the ServiceUsageMBean, with no usage parameters interface.","Matt","Complete",,,
4578,,,,"Pfd3","Assertion",,,"High","throws UnrecognizedSbbException if id is not a recognizable SbbID for the SLEE, does not correspond with an SBB installed in the SLEE, or is not an SBB that participates in the service whose usage information is being managed by this  MBean.",,"Note: not possible to test an unrecognized SbbID (other than null), as the  SLEE being tested is the TCK's only access to an implementation of SbbID. A mock implementation class may not be recognized by the SLEE.","ServiceUsageMBeanExceptionsTest",,,"Calls getUsageParameterSets() with the id of an uninstalled SBB. Calls getUsageParameterSets() with the id of an SBB not in the service represented by the ServiceUsageMBean.","Matt","Complete",,,
4579,,,,"Pfd3","Impossible",,,,"throws ManagementException if the usage parameter set could not be created due to a system-level failure",,,,,,,,,,,
3989,"javax.slee.management.ServiceUsageMBean","getSbbParameterValue",,"Pfd2","Removed",,,,,,,,,,,,"Removed",,,
3990,,,"3","Pfd2","Removed",,,,"Returns the current value of the SBB's usage parameter.",,,,,,,,,,,
3991,,,"4.1","Pfd2","Removed",,,,"java.lang.NullPointerException - if either argument is null.",,,,,,,,,,,
3992,,,"4.2","Pfd2","Removed",,,,"UnrecognizedSbbException - if sbbID is not a recognizable SbbID for the SLEE, does not correspond with an SBB installed in the SLEE, or is not an SBB that participates in th Service whose usage information is being managed by this MBean.",,,,,,,,,,,
3993,,,"4.3","Pfd2","Removed",,,,"UnrecognizedUsageParameterException - if the specified usage parameter is not defined by the specified SBB.",,,,,,,,,,,
3994,,,"4.4","Pfd2","Removed",,,,"ManagementException - if the value of the usage parameter could not be obtained due to a system-level failure.",,,,,,,,,,,
4580,"javax.slee.management.ServiceUsageMBean","getSbbUsageMBean(SbbID)",,,"Method","2253",,,,,,,,,,,,,,
4581,,,,"Pfd3","Covered","2253",,,"Get the JMX Object Name of an SbbUsageMBean object that provides management access to the unamed usage parameter set for the specified SBB.  ",,"The test for 2253 uses this method to get the SbbUsageMBean for the unnamed usage parameter set in a given SBB. The actual call is delegated to the UsageMBeanLookup/GenericUsageMBeanLookup util classes.",,,,,,,,,
4614,,,,"Pfd3","Covered","4585,4651",,,"The SBB must be participating in the Service that this MBean provides usage management access for, and must have defined a usage parameter interface.",,,,,,,,,,,
4582,,,,"Pfd3","Context",,,,"id - the component identifier of the SBB.",,,,,,,,,,,
4653,,,,"Pfd3","Covered","4585",,,"The SBB must be an SBB that is used in the Service whose usage information is being managed by this MBean.",,,,,,,,,,,
4583,,,,"Pfd3","Covered","2253",,,"Returns the ObjectName of an SbbUsageMBean object.",,,,,,,,,,,
4584,,,,"Pfd3","Assertion",,,"High","throws NullPointerException if id is null.",,,"ServiceUsageMBeanExceptionsTest",,,"Calls getSbbUsageMBean() with a null SBB id argument","Matt","Complete",,,
4585,,,,"Pfd3","Assertion",,,"High","throws UnrecognizedSbbException if id is not a recognizable SbbID for the SLEE, does not correspond with an SBB installed in the SLEE, or is not an SBB that participates in the service whose usage information is being managed by this  MBean.",,"Note: not possible to test an unrecognized SbbID (other than null), as the  SLEE being tested is the TCK's only access to an implementation of SbbID. A mock implementation class may not be recognized by the SLEE.","ServiceUsageMBeanExceptionsTest",,,"Calls getSbbUsageMBean() with the id of an uninstalled SBB. Calls getSbbUsageMBean() with the id of an SBB not in the service represented by the ServiceUsageMBean.","Matt","Complete",,,
4651,,,,"Pfd3","Assertion",,,"High","throws InvalidArgumentException - if the identified SBB participates in this service but does not define a usage parameters interface",,,"ServiceUsageMBeanExceptionsTest",,,"Calls getSbbUsageMBean() with the id of an SBB in the service represented by the ServiceUsageMBean, with no usage parameters interface.","Matt","Complete",,,
4652,,,,"Pfd3","Impossible",,,,"throws ManagementException - if the object name could not be obtained due to a system-level failure",,,,,,,,,,,
4586,"javax.slee.management.ServiceUsageMBean","getSbbUsageMBean(SbbID, String)",,"Pfd3","Method","2254",,,,,,,,,,,,,,
4587,,,,"Pfd3","Covered","2254",,,"Get the JMX Object Name of an SbbUsageMBean object that provides management access to the named usage parameter set for the specified SBB.",,"The test for 2254 uses this method to get the SbbUsageMBean for a named usage parameter set in a given SBB. The actual call is delegated to the UsageMBeanLookup/GenericUsageMBeanLookup util classes.",,,,,,,,,
4616,,,,"Pfd3","Covered","4654,4592",,,"The SBB must be participating in the Service that this MBean provides usage management access for, and must have defined a usage parameter interface.",,,,,,,,,,,
4588,,,,"Pfd3","Context",,,,"name - the name of the usage parameter set.  ",,,,,,,,,,,
4656,,,,"Pfd3","Covered","4655",,,"The name must be one of the names returned by getUsageParameterSets(id).",,,,,,,,,,,
4589,,,,"Pfd3","Context",,,,"id - the component identifier of the SBB.  ",,,,,,,,,,,
4657,,,,"Pfd3","Covered","4654",,,"The SBB must be an SBB that is used in the Service whose usage information is being managed by this MBean.",,,,,,,,,,,
4590,,,,"Pfd3","Covered","2254",,,"Returns the ObjectName of an SbbUsageMBean object.",,,,,,,,,,,
4591,,,,"Pfd3","Assertion",,,"High","throws NullPointerException if id or name is null.",,,"ServiceUsageMBeanExceptionsTest",,,"Calls getSbbUsageMBean(SbbID,String) with null arguments.","Matt","Complete",,,
4654,,,,"Pfd3","Assertion",,,"High","throws UnrecognizedSbbException - if id is not a recognizable SbbID for the SLEE, does not correspond with an SBB installed in the SLEE, or is not an SBB that participates in the Service whose usage information is being managed by this MBean.",,"Note: not possible to test an unrecognized SbbID (other than null), as the  SLEE being tested is the TCK's only access to an implementation of SbbID. A mock implementation class may not be recognized by the SLEE.","ServiceUsageMBeanExceptionsTest",,,"Calls getSbbUsageMBean(SbbID,String) with id of an uninstalled SBB. Calls getSbbUsageMBean(SbbID,String) with the id of an SBB not in the service represented by the ServiceUsageMBean.","Matt","Complete",,,
4592,,,,"Pfd3","Assertion",,,"High","throws InvalidArgumentException if the identified SBB participates in this service but does not define a usage parameters interface.",,,"ServiceUsageMBeanExceptionsTest",,,"Calls getSbbUsageMBean(SbbID,String) with the id of an SBB in the service represented by the ServiceUsageMBean, with no usage parameters interface.","Matt","Complete",,,
4655,,,,"Pfd3","Assertion",,,"High","throws UnrecognizedUsageParameterSetNameException - if the named usage parameter set has not been created for the SBB.",,,"ServiceUsageMBeanExceptionsTest",,,"Calls getSbbUsageMBean(SbbID,String) with a name that does not identify a usage parameter set that has been created for the SBB.","Matt","Complete",,,
4593,,,,"Pfd3","Impossible",,,,"throws ManagementException if the object name could not be obtained due to a system-level failure.",,,,,,,,,,,
3995,"javax.slee.management.ServiceUsageMBean","resetSbbParameter",,"Pfd2","Removed",,,,,,,,,,,,"Removed",,,
3996,,,"1","Pfd2","Removed",,,,"Resets to 0 the value of an SBB's usage parameter.",,,,,,,,,,,
3997,,,"3.1","Pfd2","Removed",,,,"java.lang.NullPointerException - if either argument is null.",,,,,,,,,,,
3998,,,"3.2","Pfd2","Removed",,,,"UnrecognizedSbbException - if sbbID is not a recognizable SbbID for the SLEE, does not correspond with an SBB installed in the SLEE, or is not an SBB that participates in th Service whose usage information is being managed by this MBean.",,,,,,,,,,,
3999,,,"3.3","Pfd2","Removed",,,,"UnrecognizedUsageParameterException - if the specified usage parameter is not defined by the specified SBB.",,,,,,,,,,,
4000,,,"3.4","Pfd2","Removed",,,,"ManagementException - if the value of the usage parameter could not be obtained due to a system-level failure.",,,,,,,,,,,
4001,"javax.slee.management.ServiceUsageMBean","resetSbbParameters",,"Pfd2","Removed",,,,,,,,,,,,"Removed",,,
4002,,,"1","Pfd2","Removed",,,,"Reset to 0 the values of all an SBB's usage parameters.",,,,,,,,,,,
4003,,,"3.1","Pfd2","Removed",,,,"java.lang.NullPointerException - if id is null.",,,,,,,,,,,
4004,,,"3.2","Pfd2","Removed",,,,"UnrecognizedSbbException - if sbbID is not a recognizable SbbID for the SLEE, does not correspond with an SBB installed in the SLEE, or is not an SBB that participates in th Service whose usage information is being managed by this MBean.",,,,,,,,,,,
4005,,,"3.3","Pfd2","Removed",,,,"ManagementException - if the values of the usage parameters could not be reset due to a system level failure.",,,,,,,,,,,
4006,"javax.slee.management.ServiceUsageMBean","resetAllParameters",,"Pfd2","Removed",,,,,,,,,,,,"Removed",,,
4007,,,"1","Pfd2","Removed",,,,"Reset to 0 the values of all SBB usage parameters, for all the SBBs participating in the Service whose usage information is being managed by this MBean.",,,,,,,,,,,
4008,,,"2 ","Pfd2","Removed",,,,"ManagementException - if the values of the usage parameters could not be reset due to a system level failure.",,,,,,,,,,,
4617,"javax.slee.management.ServiceUsageMBean","resetAllUsageParameters(Sbb id)",,"Pfd3","Method","4618",,,,,,,,,,,,,,
4618,,,"1","Pfd3","Assertion",,,"High","Reset all usage parameters in the unamed usage parameter set, and all named usage parameter sets, of the specified SBB.",,,"ResetParametersTest",,,"Deploys 3 SBBS -- SBB A and SBB B 2 in one service, and SBB C in another service. Update usage parameter values for all three SBBs. Resets values in SBB A only. Check that values for SBB A are reset. Checks that values for SBB B and SBB C are not reset.","Matt","Complete",,,
4619,,,"1","Pfd3","Covered","4618",,,"Counter-type usage parameters are reset to 0 ",,,,,,,,,,,
4620,,,"1","Pfd3","Covered","4618",,,"and sample-type usage parameters have all samples deleted. ",,,,,,,,,,,
4621,,,"2 ","Pfd3","Context",,,,"id - the component identifier of the SBB.",,,,,,,,,,,
4659,,,"2 ","Pfd3","Covered","4623",,,"The SBB must be an SBB that is used in the Service whose usage information is being managed by this MBean.",,,,,,,,,,,
4622,,,"3","Pfd3","Assertion",,,"High","java.lang.NullPointerException - if id is null. ",,,"ServiceUsageMBeanExceptionsTest",,,"Calls resetAllUsageParameters(SbbID) with a null SBB id argument.","Matt","Complete",,,
4623,,,"3","Pfd3","Assertion",,,"High","UnrecognizedSbbException - if id is not a recognizable SbbID for the SLEE, does not correspond with an SBB installed in the SLEE, or is not an SBB that participates in the Service whose usage information is being managed by this MBean.",,"Note: not possible to test an unrecognized SbbID (other than null), as the  SLEE being tested is the TCK's only access to an implementation of SbbID. A mock implementation class may not be recognized by the SLEE.","ServiceUsageMBeanExceptionsTest",,,"Calls resetAllUsageParameters(SbbID) with the id of an uninstalled SBB. Calls resetAllUsageParameters(SbbID) with the id of an SBB not in the service represented by the ServiceUsageMBean.","Matt","Complete",,,
4624,,,"3","Pfd3","Assertion",,,"High","InvalidArgumentException - if the identified SBB participates in this service but does not define a usage parameters interface.",,,"ServiceUsageMBeanExceptionsTest",,,"Calls resetAllUsageParameters(SbbID) with the id of an SBB in the service represented by the ServiceUsageMBean, with no usage parameters interface.","Matt","Complete",,,
4625,,,"3","Pfd3","Impossible",,,,"ManagementException - if the values of the usage parameters could not be reset due to a system-level failure.",,,,,,,,,,,
4594,"javax.slee.management.ServiceUsageMBean","resetAllUsageParameters",,"Pfd3","Method","4595",,,,,,,,,,,,,,
4595,,,,"Pfd3","Assertion",,,"High","Reset all usage parameters in the unnamed usage parameter set, and all named usage parameter sets, of all SBB participating in the Service whose usage information is being managed by this MBean.",,,"ResetParametersTest",,,"Deploys 3 SBBS -- SBB A and SBB B 2 in one service, and SBB C in another service. Update usage parameter values for all three SBBs. Resets values the service containing A and B (but not C). Checks that values in SBB A and SBB B are reset. Checks that values for SBB C are not reset.","Matt","Complete",,,
4596,,,,"Pfd3","Covered","4595",,,"Counter-type usage parameters are reset to 0",,,,,,,,,,,
4597,,,,"Pfd3","Covered","4595",,,"and sample-type usage parameters have all samples cleared.",,,,,,,,,,,
4626,,,,"Pfd3","Impossible",,,,"ManagementException - if the values of the usage parameters could not be reset due to a system-level failure.",,,,,,,,,,,
4009,"javax.slee.management.ServiceUsageMBean","close",,"Pfd2","Method","1469,4445",,,,,,,,,,,,,,
4010,,,"1","Pfd2","Ap Recom",,,,"Notify the SLEE that the service usage MBean is no longer required by the management client.  As the SLEE may subsequently deregister the usage MBean from the MBean server, a client that invokes this method should assume that the Object Name they had for the MBean is no longer valid once this method returns.",,,,,,,,,,,
4011,,,"2.1","Pfd2","Removed",,,,"InvalidStateException - if notification listeners are still attached to the service usage MBean.",,,,,,,,,,,
4012,,,"2.2","Pfd2","Impossible",,,,"ManagementException - if the service usage MBean could not be closed by the SLEE due to a system-level failure.",,,,,,,,,,,
4013,"javax.slee.management.SleeManagementMBean",,"1","Pfd2","Context",,,,"The SleeManagementMBean interface defines the central management interface for the SLEE.  This interface provides a management client with the JMX Object Names of other SLEE management MBeans, and allows the operational state of the SLEE to be changed.",,,,,,,,,,,
