"Last: 2510","JAIN SLEE 1.0 Technical Specification Assertions",,,,,"T?: 0",,9,306,503,74,90,462,"Active: 1"
857,"9.6.1.2","1.5","Pfd3","Removed",,,"SbbContext interface setRollbackOnly and getRollbackOnly methods.",,,,,,,"Removed"
858,"9.6.1.2","1.6","Pfd3","Removed",,,"ActivityContextInterface interface attach and detach methods.  The effects of these methods are considered transactional, and take effect as part of the successful commit of the transaction they are invoked within.",,,,,,,"Removed"
859,"9.6.1.2","1.7","Pfd3","Removed",,,"SbbContext interface maskEvent and getEventMask events.  The effects of these methods are considered transactional, and take effect as part of the successful commit of the transaction they are invoked within.  ",,,,,,,"Removed"
1905,"9.6.1.2","1.7","Pfd3","Removed",,,"Regardless of whether the underlying resource adaptor entity that fires the specified event types is transactional, the SLEE and the resource adaptor entity must collaborate to maintain the atomicity guarantee of the transactional programming model.",,,,,,,
860,"9.6.1.2","1.8","Pfd3","Removed",,,"Generic ActivityContextInterface interface methods  [are mandatory transactional]",,"We never have a guaranteed 'non-transactional' context to test from, and can't verify TXN ID inside these SLEE implemented methods.",,,,,
2000,"9.6.1.2","1.8","Pfd3","Removed",,,"[Implied by 860:] The effects of the generic ActivityContextInterface interface methods are considered transactional, and take effect as part of the successful commit of the transaction they execute within.",,"Already tested attach/detach in Test858. getActivity()/isEnding() are untestable as they don't cause any detectable changes in transactional state.",,,,,
1995,"9.6.1.2","1.9","Pfd3","Removed",,,"SBB Activity Context Interface interface attribute get and set accessor methods [are mandatory transactional]",,"We never have a guaranteed 'non-transactional' context to test from, and can't verify TXN ID inside these SLEE implemented methods.",,,,,
861,"9.6.1.2","1.9","Pfd3","Removed",,,"[Implied by 1995:] The Activity Context attributes are part of the transactional execution state.",,"Test atomicity via setRollbackOnly()",,,,,"Removed"
862,"9.6.1.2","1.10","Pfd3","Removed",,,"NullActivity interface methods.  When a NullACtivity object's endActivity method is invoked to end the NullActivity object, this method invocation executes within the current transaction.  It only takes effect when the transaction that the endActivity method is invoked from commits successfully.  See Section 7.10 for details on ending NullActivity objects.",,,,,,,"Removed"
863,"9.6.1.2","1.11","Pfd3","Removed",,,"All Activity Context Interface Factory interface methods [are mandatory transactional]",,"We never have a guaranteed 'non-transactional' context to test from, and can't verify TXN ID inside these SLEE implemented methods.",,,,,
864,"9.6.1.2","1.12","Pfd3","Removed",,,"Transactional methods of transactional resources (see Section 9.8).",,,,,,,
865,"9.6.2","1","Pfd2","Context",,,"A required transaction method is a transactional method that may or may not be invoked from within a transaction in the Active or Marked for Rollback states.",,,,,,,
866,"9.6.2","2","Pfd2","Assertion",,,"If a required transactional method is invoked from within a trasaction, the calling method's transaction context is propagated to the called method.",,,"Test866Test",,,"Fire two events at SBB.  In first handler call ACNF.bind(some activity), then mark TXN for rollback.  In second handler verify that lookup fails - the required txnal method's transcation should have been the same as the event handlers and should have rolled back with the event handler.","Complete"
867,"9.6.2","3","Pfd2","Impossible",,,"If a required transactional method is invoked from a method that is executing outside of a transaction context, a new transaction is started and associated with the method during its invocation.",,"If this was testable the test would call a required transactional method from a non-transactional method, and  ensure that the required transaction method has a txn context.   It is untestable for  two reasons: (1) All required transactional methods are SLEE-implemented, so we can't verify TXN ID inside these (2) We never have a guaranteed non-transactional context to invoke the method from",,,,,
1919,"9.6.2","3","Pfd2","Impossible",,,"The SLEE attempts to commit this transaction when the method returns.",,"We never have a guaranteed non-transactional context to invoke the method from.",,,,,
1920,"9.6.2","3","Pfd2","Impossible",,,"Once the transaction has committed or rolled back the calling method resumes execution.",,"We never have a guaranteed non-transactional context to invoke the method from.",,,,,
868,"9.6.2","4","Pfd2","Context",,,"Required transactional methods include:",,,,,,,
869,"9.6.2","4.1","Pfd2","Impossible",,,"All TimerFacility interface methods, except the getResolution and the getDefaultTimeout method [are required transactional methods]",,"We never have a guaranteed non-transactional context to invoke the method from.",,,,,
1999,"9.6.2","4.1","Pfd2","Covered","3563,3549",,"The setting and cancelling of timers is transactional, the state changes associated with these operations are part of the transaction the methods execute within.",,,,,,,
870,,,"Pfd3","Removed",,,"All UsageFacility interface methods [are required transactional methods]",,"We never have a guaranteed non-transactional context to invoke the method from.",,,,,
1997,,,"Pfd3","Removed",,,"[Implied by 870:] The effects of the methods in the UsageFacility are considered transactional, and take effect as part of the successful commit of the transaction they execute within.",,"Test atomicity: call increment() and set() in a transaction marked for rollback, then check that their effects are not visible outside  the transaction.","Test1997Test",,,"Fire three events on SBB.  In first set its usage parameter explicitly and increment another usage parameter, don't rollback.  In second set another usage parameter and increment a fourth, then rollback txn, in third send message to TCK.  On receiving message the TCK queries the ServiceUsageMBean for that SBB's usage parameter values.  Verify that correct value is returned.","Removed"
871,,,"Pfd3","Removed",,,"All ActivityContextNamingFacility interface methods [are required transactional methods]",,"We never have a guaranteed non-transactional context to invoke the method from.",,,,,
1998,"9.6.2","4.3","Pfd3","Removed",,,"[Implied by 871:] Bindings/unbindings made via the ActivityContextNamingFacility are  considered transactional, and take effect as part of the successful commit of the transaction they execute within.",,"Bind/unbind (different) activity contexts in a txn marked for rollback, then check that the bind/unbind are not visible outside the transaction.",,,,,"Removed"
872,"9.6.2","4.4","Pfd2","Impossible",,,"All ProfileFacility interface methods [are required transactional methods]",,"We never have a guaranteed non-transactional context to invoke the method from.",,,,,
873,"9.6.2","5","Pfd2","Impossible",,,"If a required transactional method is called from a method that does not have an associated transaction and the newly created transaction fails to commit, the calling method receives a javax.slee.TransactionRolledbackLocalException.",,"We never have a guaranteed 'non-transactional' context to test from; also have no means to force the rollback of the new tx.",,,,,
874,"9.7","1","Pfd2","Context",,,"A non-transactional method is a method that must not directly or indirectly read or modify transactional execution state.  Non-transactional methods include:",,,,,,,
875,"9.7","1.1","Pfd2","Optional",,,"SBB abstract class setSbbContext, unsetSbbContext, sbbActivate and sbbPassivate life cycle methods.",,"Unspecified transaction context:  the vendor can choose whether or not to invoke the method with a txn context.",,,,,
2266,"9.7","1.2","Pfd3","Optional",,,"All get SBB Usage Parameter methods.",,,,,,,
876,"9.7","1.3","Pfd3","Optional",,,"All methods of non-transactional Facilities.",,"Unspecified transaction context:  the vendor can choose whether or not to invoke the method with a txn context.",,,,,
877,"9.7","1.4","Pfd3","Optional",,,"All methods of non-transactional resources (see Section 9.10).",,"Unspecified transaction context:  the vendor can choose whether or not to invoke the method with a txn context.",,,,,
878,"9.7","1.5","Pfd3","Out of Scope",,,"Non-transactional methods of transactional resources.",,,,,,,
879,"9.7","2","Pfd2","Optional",,,"A non-transactional method is always invoked in an unspecified transaction context.",,"The vendor can choose whether or not to invoke the method with a txn context.",,,,,
880,"9.7.1","1","Pfd2","Context",,,"The term ""an unspecified transaction context"" is used in the SLEE specification to refer to the cases in which the SLEE specification does not fully define the transaction semantics of a method invocation.",,,,,,,
881,"9.7.1","1","Pfd2","Out of Scope",,,"The SLEE specification does not prescribe how a SLEE implementation should manage the execution of a method with an unspecified transaction context.",,,,,,,
882,"9.7.1","2","Pfd2","Ap Recom",,,"When the transactional semantics of an unspecified transaction context is unknown, a method that runs with an unspecified transaction context must be written conservatively and not rely on any particular transaction semantics.",,,,,,,
883,"9.7.1","3","Pfd2","Out of Scope",,,"A failure that occurs in the middle of the execution of a method that runs with an unspecified transaction context may leave any resource, transactional and non-transactional state accessed method from the method in an unpredictable state.  The SLEE specification does not define how the application should recover state after such a failure.",,,,,,,
2032,"9.8","1","Pfd3","Context",,,"The SLEE may directly or indirectly invoke transactional methods:",,,,,,,
2033,"9.8","1.1","Pfd3","Context",,,"Direct method invocation, also known as SLEE originated method invocation: The SLEE directly invokes a transactional method if there is no other SBB Developer implemented method invocation, such as an SBB abstract class method, and no other logical cascading removal method invocation (see below) in the call-chain leading to the current method invocation.",,,,,,,
2034,"9.8","1.1","Pfd3","Context",,,"Direct method invocation, also known as SLEE originated method invocation: The SLEE directly invokes a transactional method if there is no other SBB Developer implemented method invocation, such as an SBB abstract class method, and no other logical cascading removal method invocation (see below) in the call-chain leading to the current method invocation.",,,,,,,
2035,"9.8.1","1.2","Pfd3","Repeat",2020,,"Logical cascading removal methods are mandatory transactional methods.",,,,,,,
2036,"9.8.1","1.2","Pfd3","Context",,,"When a logical cascading removal method is invoked, the method invocation may cause additional transactional methods to be invoked. These additional method invocations are always considered to be non-SLEE originated method invocations. The transactional methods that may be invoked include the life cycle methods of the SBB entities in the SBB entity tree or the SBB entity sub-tree being removed.  ",,,,,,,
2037,"9.8.1","2.1","Pfd3","Repeat",2134,,"A SLEE originated logical cascading removal method invocation is initiated by the SLEE to reclaim an SBB entity tree after the attachment count of the root SBB entity of the SBB entity tree decreases to zero. When the method invocation completes, an entire SBB entity tree should be removed.",,,,,,,
2363,"9.8.1","2.1","Pfd3","Assertion",,,"When the method invocation (logical cascading removal method) completes, an entire SBB entity tree should be removed.",,,"Test2363Test",,,"Parent with two children attached to the ACI.  Remove the child which has highest event priority.  Fire event that both children can receive, verify that only the second child receives the event.","Complete"
2408,,,,"Optional",,,"The SLEE specification does not specify whether or not the SLEE invokes the logical cascading removal method in the same transaction that decreases the attachment count of the root SBB to zero. Thus, a SLEE may implement eager and/or lazy reclamation of SBB entity trees. ",,,,,,,
2405,,,,"Covered","2406,2407",,"If the cascading removal operation does not occur in the same transaction (i.e. eager reclamation), the SLEE must behave as if the SBB entity tree has become non-existent. ",,,,,,,
2406,,,,"Assertion",,,"It must remove any convergence name associated with the root SBB entity of the SBB entity tree, i.e. the same convergence name may cause the SLEE to instantiate a new root SBB entity.",,"We can't test lazy reclamation  explicitly as this is an implementation choice, but we can test expected reclamation behaviour  such that non-compliant implementations of lazy reclamation are detected.","Test2406Test",,,"Install an SBB with 'activity' as the only convergence name variable selected. Fire an event on Activity Foo. In an event handler method, detach from Foo activity such that the SBB's attachment count is zero. Fire an initial event for the SBB on Foo, and check that a new SBB instance is created.","Complete"
2407,,,,"Covered",2406,,"It must also not deliver events to SBB entities in the  ""non-existent""  SBB entity tree. ",,"We can't test lazy reclamation  explicitly as this is an implementation choice, but we can test expected reclamation behaviour  such that non-compliant implementations of lazy reclamation are detected.  The way Test2406 is implemented also covers this assertion.",,,,"Install an SBB with 'activity' as the only convergence name variable selected. Fire an event on Activity Foo. In an event handler method, detach from Foo activity such that the SBB's attachment count is zero. Fire an initial event for the SBB on Foo, and check that  the event is not delivered to the previous SBB object.",
2038,"9.8.1","2.2","Pfd3","Covered","2111, 304",,"A non-SLEE originated logical cascading removal method invocation is initiated by an SBB to remove an SBB entity tree by invoking the remove method on an SBB local object, or invoking one of the remove methods on a ChildRelation object.",,,,,,,
2039,"9.8.2","1","Pfd3","Context",,,"A SLEE originated invocation consists of all the transactional method invocations invoked directly by the SLEE within the same transaction on either a single SBB object or a single SBB entity.",,,,,,,
2364,"9.8.2","1","Pfd3","Impossible",,,"Each SLEE originated invocation must include at least one SLEE originated mandatory transactional method invocation.",,,,,,,
2040,"9.8.2","2.1","Pfd3","Context",,,"Life Cycle Only.",,,,,,,
2041,"9.8.2","2.1.1","Pfd3","Context",,,"The possible SLEE originated method invocations within a SLEE originated invocation of this type are as follows:  1) at least one mandatory txnal life cycle method invocations, followed by 2) at most one sbbExceptionThrown method invocation.",,,,,,,
2042,"9.8.2","2.1.2","Pfd3","Impossible",,,"Within a SLEE originated invocation, these methods must be invoked on the same SBB object, also known as the target SBB object of the SLEE originated invocation. ",,,,,,,
2043,"9.8.2","2.1.3","Pfd3","Context",,,"If the target SBB object enters the Ready state, then the target SBB entity of the SLEE originated invocation is the SBB entity represented by the SBB object.",,,,,,,
2044,"9.8.2","2.2","Pfd3","Context",,,"Remove only:",,,,,,,
2045,"9.8.2","2.2.1","Pfd3","Context",,,"The possible SLEE originated method invocations within a SLEE originated invocation of this type are as follows: 1) a SLEE originated logical cascading removal method invocation.",,,,,,,
2046,"9.8.2","2.2.2","Pfd3","Context",,,"The target SBB entity of a Remove Only SLEE originated invocation is the root SBB entity of the SBB entity tree being removed. There is no target SBB object in a Remove Only SLEE originated invocation. ",,,,,,,
2047,"9.8.2","2.3","Pfd3","Context",,,"The possible SLEE originated method invocations within a SLEE originated invocation of this type (Op Only) are as follows: 1) zero or more mandatory txnal life cycle method invocations followed by 2) an invocation of either an event handler method, a sbbServiceDeactivated method, or a sbbRolledBack method, followed by 3) zero or more mandatory txnal life cycle method invocations, followed by 4) at most one sbbExceptionThrown method invocation.",,,,,,,
2048,"9.8.2","2.3.2","Pfd3","Impossible",,,"Within a SLEE originated invocation, these methods must be invoked on the same SBB object, also known as the target SBB object of the SLEE originated invocation. ",,,,,,,
2049,"9.8.2","2.3.3","Pfd3","Context",,,"If the SBB object enters the Ready state, then the target SBB entity of the SLEE originated invocation is the SBB entity represented by the SBB object. ",,,,,,,
2050,"9.8.2","2.3.4","Pfd3","Assertion",,,"The SBB object must enter the Ready state for the SLEE to invoke its event handler method, or its sbbRolledBack method . ",,,"Test2050Test",,,"From event handler call getSbbContext().getActivities(), which will only return a value if the SBB is in the Ready state.  Could also roll the SBB back in the event handler and check getActivities() in sbbRolledBack() before returning test pass/fail.","Complete"
2051,"9.8.2","2.4","Pfd3","Context",,,"The possible SLEE originated method invocations within a SLEE originated invocation of this type (Op Remove) are as follows: zero or more mandatory transactional lifecycle method invocations, followed by, 2) an invocation of either an event handler method, a sbbServiceDeactivated method, or a sbbRolledBack method, followed by 3) zero or more mandatory transactional lifecycle method invocations, followed by 4) at most one sbbExceptionThrown method invocation, followed by 5) a logical cascading removal method invocation.",,,,,,,
2052,"9.8.2","2.4.2","Pfd3","Impossible",,,"Within a SLEE originated invocation, these methods, except the logical cascading removal method invocation, must be invoked on the same SBB object, also known as the target SBB object of the SLEE originated invocation. The SBB object must be in the Ready state when its event handler method, its sbbServiceDeactivated method, or its sbbRolledBack method is invoked. ",,,,,,"Can't tell the difference between one SBB object and another.",
2053,"9.8.2","2.4.3","Pfd3","Context",,,"The target SBB entity of a SLEE originated invocation of this type is the SBB entity represented by the target SBB object.  The target SBB entity is always known since the target SBB object must be in the Ready state",,,,,,,
2054,"9.8.2","2.4.4","Pfd3","Impossible",,,"The SBB entity tree or SBB entity sub-tree to be removed by the logical cascading removal method invocation within a SLEE originated invocation of this type must be the SBB entity tree or SBB entity sub-tree rooted by the target SBB entity. ",,,,,,,
2055,"9.8.2","3","Pfd3","Assertion",,,"If any of the methods (except the sbbExceptionThrown method) invoked on the target SBB object of a SLEE originated invocation returns by throwing a Runtime­Exception, then the SLEE invokes the sbbExceptionThrown method of the target SBB object of the transaction within the same transaction.",,,"Test2055Test",,,"Fire event.  Send TXN ID from event handler to TCK.  Throw RuntimeException.  In sbbExceptionThrown send TXN ID to the TCK.  Verify that the TXN IDs match.","Complete"
2056,"9.8.2","4","Pfd3","Assertion",,,"There is at most one sbbExceptionThrown method invocation in each of the above SLEE originated invocation types since the SLEE will move the target SBB object of the SLEE originated invocation to the Does Not Exist state after invoking the sbbExceptionThrown method once on the SBB object. The SLEE will not invoke any other methods on the SBB object once it enters the Does Not Exist state.",,,"Test2056Test",,,"Throw RuntimeException in sbbCreate() and again in sbbPostCreate().  In the sbbExceptionThrown handler send a message to the TCK.  The TCK must receive only one of these messages, and should time out.  If it receives both messages, then an error has occurred.","Complete"
2057,"9.8.2","5.1","Pfd3","Assertion",,,"If an invoked method is a transactional method (mandatory or required), then the invoked method run in the same transaction as the SLEE originated mandatory transactional method invocation. ",,,"Test848Test",,,"Create an SBB with a custom SBB Local interface.  From an event handler call a method on the custom local interface, ensure that the txn id in this method is the same as that used in the event handler.","Complete"
2058,"9.8.2","5.2","Pfd3","Impossible",,,"If an invoked method is a non-transactional method, then the invoked method does not run in the same transaction as the SLEE originated mandatory transactional method invocation. The invoked method runs with an unspecified transaction context (see Section ).",,,,,,"No user-defined code is called in a non-transactional method so it's not possible to verify that the TXN ID there is different (or absent) from the ID used in the SLEE originated mandatory method.",
2059,"9.8.3","1","Pfd3","Context",,,"Each transaction initiated by the SLEE must be described by a valid SLEE originated invocation sequence. ",,,,,,,
2060,"9.8.3","1","Pfd3","Context",,,"A SLEE originated invocation sequence is a ordered sequence of one or more SLEE originated invocations. ",,,,,,,
2061,"9.8.3","1","Pfd3","Impossible",,,"The SLEE completes a SLEE originated invocation in the ordered sequence before beginning the next SLEE originated invocation in the ordered sequence. ",,,,,,"E.g. fire an event, verify that it is completely processed before the sbb is removed (activity end event?)  Not possible to test accurately - even if the TCK is sent a message immediately before the event returns there's no guarantee that in a non-compliant system that the sbb will not be removed before the 'return' kicks in.",
2062,"9.8.3","2.1","Pfd3","Impossible",,,"A valid sequence contains at most one Op Only or Op And Remove SLEE originated invocation. This means that each transaction may contain at most one event handler, sbbServiceDeactivated, or sbbRolledBack method invocation.",,,,,,,
2063,"9.8.3","2.2","Pfd3","Removed",,,"A valid sequence contains at most one Op Only or Op And Remove SLEE originated invocation. This means that each transaction may contain at most one event handler, sbbServiceDeactivated, or sbbRolledBack method invocation.",,,,,,,
2064,"9.8.3","2.2.1","Pfd3","Impossible",,,"If the sequence contains a Remove Only or an Op And Remove SLEE originated invocation, then the Remove Only or an Op And Remove SLEE originated invocation must be the last SLEE originated invocation in the sequence.",,,,,,,
2065,"9.8.3","2.2.2","Pfd3","Impossible",,,"If the sequence contains one Op Only and one Remove Only SLEE originated invocations, then the target SBB object invoked by the Op Only SLEE originated invocation must enter the Ready state or be in the Ready state, and the target SBB entity of the Remove Only SLEE originated invocation must be the root SBB entity of the target SBB entity invoked by the Op Only SLEE originated invocation.",,,,,,,
2066,"9.8.3","2.3","Pfd3","Impossible",,,"A valid sequence does not contain SLEE originated method invocations on more than one SBB object that enters the Ready state from the Pooled state or is already in the Ready state. ",,,,,,,
884,"9.9","1","Pfd3","Context",,,"There are two types of transactional resource:",,,,,,,
885,"9.9","1.1","Pfd3","Context",,,"JTA transactional resources: A JTA transactional resourcue is a XA resource as defined by JTA.",,,,,,,
886,"9.9","1.2","Pfd3","Context",,,"Non-JTA transactional resource: A non-JTA transactional resource supports transactions in a resource specific manner, such as a JDBC 2.0 driver that does not implement javax.transaction.xa.XAResource.",,,,,,,
887,"9.9","2","Pfd3","Out of Scope",,,"The SLEE specification does not require a SLEE to support JTA transactional resources.",,,,,,,
888,"9.9","5","Pfd3","Out of Scope",,,"A SLEE may integrate with EJB 2.0 containers to support transaction context propagation when methods on EJB interfaces are invoked within a transaction.",,,,,,,
889,"9.10","1","Pfd3","Assertion",,,"When more than one event is fired on a particular Activity Context within the same transaction, the order of receipt of the events must be the order of the firing of events.",,,"Test889Test",,,"Fire initial event on SBB.  Within initial event handler fire two events on the same ACI.  In the first custom handler set CMP field, in the second handler verify that this field has been set and return pass/fail accordingly.","Complete"
890,"9.11","2","Pfd3","Ap Recom",,,"The SBB Developer must be aware that combining transactional and non-transactional resources in the same transaction may violate properties of the transactional programming model such as the atomicity guarantee.",,,,,,,
891,"9.12","1","Pfd3","Context",,,"There are two cases for the behaviour of the SLEE when an invocation throws an exception.  These cases are: Non-SLEE originated method invocation, SLEE originated method invocation.",,,,,,,
892,"9.12.1","1","Pfd3","Context",,,"If a non-SLEE originated invocation returns by throwing a checked exception, then the following occurs:",,,,,,,
893,"9.12.1","1.1","Pfd3","Assertion",,,"The state of the transaction is unaffected.",,"Check that the txn is not marked for rollback.","Test894Test",,,"In test 894 check the rollback status before throwing the exception and afterwards and make sure the rollback status doesn't change.","Complete"
894,"9.12.1","1.2","Pfd3","Assertion",,,"The checked exception is propagated to the caller.  It is expected that the caller will have appropriate logic to handle the exception.",,,"Test894Test",,,"Throw checked exception from SbbLocalObject, and verify that the exception is propagated.","Complete"
895,"9.12.1","2","Pfd3","Context",,,"If a non-SLEE originated invocation returns by throwing a RuntimeException, then:",,,,,,,
896,"9.12.1","2.1","Pfd3","Assertion",,,"The transaction is marked for rollback.",,,"Test896Test",,,"Call SbbLocalObject method from SBB event handler, throw RuntimeException in the SbbLocalObject method, check that the TXN is marked for rollback.","Complete"
897,"9.12.1","2.2","Pfd3","Removed",,,"The sbbExceptionThrown callback method is invoked as described in Section 6.11.",,,"Test897Test",,,"Call SbbLocalObject method from SBB event handler, throw RuntimeException in the SbbLocalObject method, verify that sbbExceptionThrown() is called.","Removed"
2508,"9.12.1",,"Pfd3","Implied",,,"[Implied by the ""SLEE originated"" clause in 6.9.1,  the absence of a call to sbbException thrown in 9.12.1 (Non-SLEE originated method invocation), and the absence of any reference to the call being made in the case of a RuntimeException thrown from a local interface method.] The sbbExceptionThrown callback method is not invoked on the called SBB or the calling SBB in response to a Non-SLEE originated method invocation returning by throwing a RuntimeException.",,,"Test2508Test",,,"Call an SbbLocalObject method on a child SBB from the parent's SBB event handler, throw RuntimeException in the SbbLocalObject method, verify that sbbExceptionThrown() is not called on the parent or child SBB.","Complete"
898,"9.12.1","2.2","Pfd3","Assertion",,,"The SBB object that was invoked is discarded.",,,"Test896Test",,,"Calling ChildSbbLocalObject.someMethod() should result in TransactionRolledbackLocalException.","Complete"
899,"9.12.1","2.3","Pfd3","Assertion",,,"A javax.slee. TransactionRolledBackLocalException is  propagated to the caller.",,,"Test896Test",,,"Verify that TransactionRolledBackLocalException() is propagated to the original event handler method.","Complete"
2509,"9.12.1","2.5","Pfd3","Assertion",,,"The sbbRolledBack method is not invoked for an SBB originated method transaction because the transaction is only marked for rollback and will only be rolled back when the highest level SLEE originated invocation returns. ",,,"Test2508Test",,,"Call an SbbLocalObject method on a child SBB from the parent's SBB event handler, throw RuntimeException in the SbbLocalObject method, verify that sbbRolledBack() is not called on the child SBB.","Complete"
2510,"9.12.1","2.5","Pfd3","Assertion",,,"The sbbRolledBack method is only invoked on the SBB entity invoked by the highest level SLEE originated invocation.",,,"Test2508Test",,,"Call an SbbLocalObject method on a child SBB from the parent's SBB event handler, throw RuntimeException in the SbbLocalObject method, verify that sbbRolledBack() is called on the parent SBB.","Complete"
900,"9.12.1","3","Pfd3","Assertion",,,"If the RuntimeException propagates  to the highest level (i.e. the SLEE originated invocation returns by throwing an unchecked exception) the SLEE originated invocation exception handling method is initiated.",,,"Test900Test",,,"Throw RuntimeException from SbbLocalObject method, catch it and rethrow it. Verify that sbbRolledBack() is called (one of the chain of events that happens when RuntimeException is thrown from a SLEE-invoked method.)","Complete"
901,"9.12.2","1","Pfd3","Context",,,"If all the method invocations belonging to a SLEE originated invocation return without throwing an exception or by throwing only checked exceptions, then the following occurs:",,,,,,,
902,"9.12.2","1.1","Pfd3","Impossible",,,"If the transaction is not marked for rollback, then: The transaction is moved to the Committing state.",,"Sbbs have no view of this tx state transition.",,,,,
1990,"9.12.2","1.1","Pfd3","Impossible",,,"If the transaction cannot be committed, then the transaction is rolled back and if the SLEE originated mehod invocation has a target SBB entity, the SLEE eventually invokes the sbbRolledBack method in a new transaction on another SBB object that represents the same SBB entity as described in Section 6.11.1.",,"Sbbs have no standard means to influence whether or not the tx is rolled back after the tx is in the committing state.",,,,,
903,"9.12.2","1.2","Pfd3","Assertion",,,"If the transaction is marked for rollback, then the transaction is rolled back and if the SLEE originated method invocation has a target SBB entity, the SLEE eventually invokes the sbbRolledBack method in a new txn on another SBB object that represents the same SBB entity as described in Section 6.11.1.",,,"Test903Test",,,"In event handler method send message to the test containing TXN ID.  Mark TXN for rollback.  In sbbRolledBack() method send TXN ID to the test, and have the test determine test pass/failure.","Complete"
904,"9.12.2","2","Pfd3","Context",,,"If a SLEE originated invocation returns by throwing a RuntimeException, then the following occurs:",,,,,,,
905,"9.12.2","2.1","Pfd3","Assertion",,,"The transaction is marked for rollback.",,,"Test905Test",,,"On the child in first event handler: send message back to the test containing the TXN object ID. Call parentSbbLocalObject.setSomeValue(42).  Throw RuntimeException.","Complete"
906,"9.12.2","2.2","Pfd3","Assertion",,,"The sbbExceptionThrown callback method is invoked as described in Section 6.11.",,,"Test906Test",,,"Verify that sbbExceptionThrown() is executed by sending value to the test.","Complete"
907,"9.12.2","2.3","Pfd3","Assertion",,,"The SBB object that was invoked is discarded.",,,"Test905Test",,,,"Complete"
908,"9.12.2","2.4","Pfd3","Assertion",,,"The transaction is eventually rolled back.",,,"Test905Test",,,"In second event handler parent should check value set via its local object interface by the child and ensure that it's at default and send message to the test containing whether that test passed or not.","Complete"
909,"9.12.2","2.5","Pfd3","Assertion",,,"If the SLEE originated method invocation has a target SBB entity, and the SLEE was not invoking the sbbRolledBack method on the target SBB entity, the SLEE eventually invokes the sbbRolledBack method in a new txn on another SBB object that represents the same SBB entity as described in section 6.11.1.",,,"Test905Test",,,"Send message back to the test containing TXN object ID used in sbbRolledBack() method.  In the test verify that the objects are different.","Complete"
2067,"9.12.2","3","Pfd3","Assertion",,,"If a transaction that includes a SLEE originated logical cascading removal method invocation does not commit (because the sbbRemove method of one of SBBs invoked returns by throwing a RuntimeException or marks the transaction for roll back, or for some other reasons like optimistic concurrency control conflicts, deadlocks, or internal SLEE problems), the SLEE is expected to forcefully remove the SBB entity tree that would have been removed by the SLEE originated logical cascading removal method invocation after the SLEE has invoked the sbbRolledBack callback corresponding to the transaction that did not commit. ",,,,,,,
2068,"9.12.4","1","Pfd3","Assertion",,,"When a transaction rolls back, the SLEE should deliver a transaction rolled back callback for each SLEE originated invocation in the transaction that has a target SBB entity. The SLEE delivers each of these transacation rolled back callbacks by invoking the sbbRolledBack method in a new transaction on another SBB object that represents the corresponding target SBB entity.",,,,,,,
910,"10","1","Pfd2","Context",,,"A Profile Table contains zero or more Profiles that conform to the same schema.",,,,,,,
911,"10.1.1","1","Pfd2","Context",,,"Profile Specifications, Profile Tables and Profiles participate in the following relationships:",,,,,,,
912,"10.1.1","1.1","Pfd2","Assertion",,,"Profile Specifications and Profile Tables: 1-to-many",,,"CreateManyProfileTablesTest","Profile table count:0;1;many","Profile table count:0;1;many","Install a profile specification, then create many (3) profile tables in it, then check that they all exist.","Complete"
913,"10.1.1","1.2","Pfd2","Assertion",,,"Profile Tables and Profiles: 1-to-many",,,"CreateManyProfilesTest","Profile count:0;1;many","Profile count:0;1;many","Create a profile table, then create many (3) profiles in it, then list the table's contents to check that they all exist.","Complete"
914,"10.1.1","1.3","Pfd2","Assertion",,,"Profiles and Profiles: many-to-many",,,"ManyToManyProfilesTest","Profile references many profiles; Many profiles reference profile","Profile references many profiles; Many profiles reference profile","Create profiles X,A and B. Add references to A and B from X, and references to X from A and B. Commit the changes.","Complete"
1976,"10.1.1","1.3","Pfd2","Repeat",988,,"Each Profile may reference another Profile or itself. The SLEE does not impose any restrictions on the Profile references.",,,,,,,
915,"10.1.1","1.4","Pfd2","Ap Req",,,"Address Profile Tables and Services: 1-to-many",,"Check that service A and service B can both be installed if they share the same address profile table.",,,,,
916,"10.1.1","1.5","Pfd2","Ap Req",,,"Resource Info Profile Tables and Services: 1-to-many",,"Check that service A and service B can both be installed if they share the same resource info profile table.",,,,,
917,"10.1.2","1.1","Pfd2","Covered",3867,,"The Administrator must assign a globally unique name to each Profile Table, known as the Profile Table name.",,"The uniqueness constraint is covered by the test for 3867",,,,,
2425,"10.1.2","1.1","Pfd2","Self-Evident",,,"The Java type for the Profile Table names is java.lang.String.",,,,,,,
2426,"10.1.2","1.1","Pfd3","Assertion",,,"A Profile Table name cannot be null or zero-length, and may only contain letter or digit characters as defined by java.lang.Character.isLetter and java.lang.Character.isDigit. Additionally, any other character in the Unicode range 0x0020-0x007e may be included in a Profile Table name, except for the  /  character (Unicode 0x002f).",,"The null and zero-length cases are covered by other assertions.","ProfileTableNamesTest",,"Invalid characters: 0x0000-0x001f,0x007f. Valid characters: 0x0020-0x007e","Try to create a profile table with a name containing all the chosen valid characters, and check that no exception is thrown. For each chosen invalid character, try to create a profile table with name consisting of only that character, and check that the InvalidArgumentException is thrown.","Complete"
